Informazioni cronologiche,Di che paese sei?,Come dici ciabatta?
29/03/2023 10.57.48,Bonate Sotto,sébra
29/03/2023 11.45.17,Osio Sotto,sibra
29/03/2023 11.45.24,Villa d'Almè,sibra
29/03/2023 11.45.33,Alzano Lombardo,sibra
29/03/2023 11.45.37,Alzano Lombardo,sibra
29/03/2023 11.45.40,Caravaggio,sébra
29/03/2023 11.45.51,Gazzaniga,sibra
29/03/2023 11.45.53,Roncola,sébra
29/03/2023 11.46.01,Spirano,sibra
29/03/2023 11.46.03,San Giovanni Bianco,sibra
29/03/2023 11.46.10,Seriate,sibra
29/03/2023 11.46.18,Vertova,söbra
29/03/2023 11.46.24,Dalmine,sibra
29/03/2023 11.46.30,Treviolo,sibra
29/03/2023 11.46.36,Brusaporto,sébra
29/03/2023 11.46.44,Bonate Sotto,sébra
29/03/2023 11.46.58,Zogno,sibra
29/03/2023 11.47.08,Oneta,sébra
29/03/2023 11.47.15,Caravaggio,sébra
29/03/2023 11.47.22,Solza,sébra
29/03/2023 11.47.24,Riva di Solto,saàta
29/03/2023 11.47.26,Spirano,sibra
29/03/2023 11.47.27,Mapello,sébra
29/03/2023 11.47.32,Lurano,sébra
29/03/2023 11.47.33,Bonate Sotto,sébra
29/03/2023 11.47.34,Ghisalba,saàta
29/03/2023 11.47.37,Ubiale Clanezzo,sibra
29/03/2023 11.47.40,Dalmine,sibra
29/03/2023 11.47.41,Chiuduno,söbra
29/03/2023 11.47.43,Madone,sébra
29/03/2023 11.47.47,Sorisole,sibra
29/03/2023 11.47.57,Bonate Sotto,sébra
29/03/2023 11.48.06,Capriate San Gervasio,sébra
29/03/2023 11.48.07,Mozzo,sibra
29/03/2023 11.48.08,Verdello,sibra
29/03/2023 11.48.14,Carona,sibra
29/03/2023 11.48.21,Bergamo,sibra
29/03/2023 11.48.31,Bergamo,sibra
29/03/2023 11.48.42,Bergamo,sibra
29/03/2023 11.48.43,Clusone,söbra
29/03/2023 11.48.47,Paladina,saàta
29/03/2023 11.48.49,Foresto Sparso,sébra
29/03/2023 11.49.01,Treviolo,sibra
29/03/2023 11.49.01,Castione della Presolana,saàta
29/03/2023 11.49.05,Ponteranica,sibra
29/03/2023 11.49.07,Sovere,Sapata 
29/03/2023 11.49.09,Scanzorosciate,sébra
29/03/2023 11.49.17,San Pellegrino Terme,sibra
29/03/2023 11.49.18,Bariano,sébra
29/03/2023 11.49.22,Cologno al Serio,sibra
29/03/2023 11.49.24,Palosco,söbra
29/03/2023 11.49.24,Valbondione,sibra
29/03/2023 11.49.31,Carobbio degli Angeli,saàta
29/03/2023 11.49.35,Fara Gera d'Adda,Sibrëta
29/03/2023 11.49.36,Martinengo,saàta
29/03/2023 11.49.40,Capriate San Gervasio,sibra
29/03/2023 11.49.47,Fontanella,sibra
29/03/2023 11.49.47,Chiuduno,söbra
29/03/2023 11.49.48,Albino,sébra
29/03/2023 11.50.08,Antegnate,saàta
29/03/2023 11.50.23,San Giovanni Bianco,sibra
29/03/2023 11.50.26,Oltre il Colle,sébra
29/03/2023 11.50.37,Bergamo,sibra
29/03/2023 11.50.57,Albano Sant'Alessandro,sibra
29/03/2023 11.51.00,Villa di Serio,sibra
29/03/2023 11.51.04,Riva di Solto,saàta
29/03/2023 11.51.06,Castione della Presolana,söbra
29/03/2023 11.51.14,Ponte San Pietro,sibra
29/03/2023 11.51.22,Treviglio,saàta
29/03/2023 11.51.39,Almè,sibra
29/03/2023 11.51.39,Sorisole,sibra
29/03/2023 11.51.51,Ubiale Clanezzo,sébra
29/03/2023 11.51.58,Presezzo,sibra
29/03/2023 11.51.59,Ubiale Clanezzo,sébra
29/03/2023 11.51.59,Stezzano,sibra
29/03/2023 11.52.31,Pontirolo Nuovo,sibreta 
29/03/2023 11.52.32,Adrara San Rocco,saàta
29/03/2023 11.52.38,Pradalunga,sébra
29/03/2023 11.52.43,Bolgare,sibra
29/03/2023 11.52.46,Bonate Sotto,sibra
29/03/2023 11.52.54,Sant'Omobono Terme,sébra
29/03/2023 11.52.54,Gorno,sébra
29/03/2023 11.52.57,Nembro,sébra
29/03/2023 11.53.00,Torre de' Roveri,sibra
29/03/2023 11.53.01,Caravaggio,sibra
29/03/2023 11.53.01,Paladina,sibra
29/03/2023 11.53.08,Castione della Presolana,söbra
29/03/2023 11.53.14,Casazza,söbra
29/03/2023 11.53.28,Zogno,sibra
29/03/2023 11.53.33,Romano di Lombardia,sibra
29/03/2023 11.53.43,Bottanuco,sébra
29/03/2023 11.53.49,Montello,sébra
29/03/2023 11.53.50,Colere,Hibràtulo
29/03/2023 11.53.50,Alzano Lombardo,sibra
29/03/2023 11.53.53,Bonate Sopra,sébra
29/03/2023 11.54.06,Terno d'Isola,Zebra
29/03/2023 11.54.07,Piazzolo,sibra
29/03/2023 11.54.31,Ponte San Pietro,sébra
29/03/2023 11.54.43,Oneta,sébra
29/03/2023 11.54.58,Urgnano,sibra
29/03/2023 11.55.01,Bergamo,sibra
29/03/2023 11.55.02,Osio Sotto,sibra
29/03/2023 11.55.04,Fontanella,sibra
29/03/2023 11.55.23,Medolago,sébra
29/03/2023 11.55.30,Gandino,söbra
29/03/2023 11.55.40,Zanica,sibra
29/03/2023 11.55.42,Brembate di Sopra,sébra
29/03/2023 11.55.59,Costa Valle Imagna,sébra
29/03/2023 11.56.29,Brembate,sibra
29/03/2023 11.56.30,Filago,sébra
29/03/2023 11.56.31,Stezzano,sibra
29/03/2023 11.56.42,Bergamo,Saàbata
29/03/2023 11.57.09,Piazza Brembana,sibra
29/03/2023 11.57.22,Nembro,sibra
29/03/2023 11.57.23,Albino,Tzöbra o Tzibra
29/03/2023 11.57.29,Ponte San Pietro,sibra
29/03/2023 11.57.29,Bergamo,sibra
29/03/2023 11.57.40,Filago,sébra
29/03/2023 11.57.52,San Pellegrino Terme,sibra
29/03/2023 11.57.54,Villa d'Adda,sébra
29/03/2023 11.57.57,Sedrina,sébra
29/03/2023 11.58.04,Sarnico,saàta
29/03/2023 11.58.13,Pradalunga,sébra
29/03/2023 11.58.19,Rota d'Imagna,sébra
29/03/2023 11.58.23,Villongo,saàta
29/03/2023 11.58.48,Torre Boldone,sibra
29/03/2023 11.58.55,Albano Sant'Alessandro,sébra
29/03/2023 11.58.56,Cortenuova,sibra
29/03/2023 11.59.05,Vertova,zzöbra
29/03/2023 11.59.05,Mapello,sibra
29/03/2023 11.59.17,Castione della Presolana,söbra
29/03/2023 11.59.19,Barzana,sibra
29/03/2023 11.59.33,Seriate,sibra
29/03/2023 11.59.54,Nembro,sébra
29/03/2023 12.00.06,Scanzorosciate,saàta
29/03/2023 12.00.18,Villa d'Almè,sibra
29/03/2023 12.00.28,San Giovanni Bianco,sibra
29/03/2023 12.00.32,Bergamo,sibra
29/03/2023 12.00.33,Strozza,saàta
29/03/2023 12.00.44,Stezzano,sibra
29/03/2023 12.00.52,Almenno San Bartolomeo,sébra
29/03/2023 12.01.07,Bagnatica,S semi muta
29/03/2023 12.01.08,Ponte San Pietro,sibra
29/03/2023 12.01.12,Bergamo,saàta
29/03/2023 12.01.13,Ranica,sébra
29/03/2023 12.01.21,Pontirolo Nuovo,sibra
29/03/2023 12.01.36,Bonate Sotto,sibra
29/03/2023 12.01.58,Fontanella,sibra
29/03/2023 12.02.00,Cerete,sébra
29/03/2023 12.02.04,Bonate Sotto,sébra
29/03/2023 12.02.07,Presezzo,sibra
29/03/2023 12.02.29,Parre,sébra
29/03/2023 12.02.40,Cavernago,söbra
29/03/2023 12.02.42,Cologno al Serio,sibra
29/03/2023 12.02.47,Parre,sébra
29/03/2023 12.02.49,Treviglio,sibra
29/03/2023 12.02.54,San Paolo d'Argon,sibra
29/03/2023 12.03.10,Paladina,sébra
29/03/2023 12.03.14,Albino,sébra
29/03/2023 12.03.17,Levate,sibra
29/03/2023 12.03.18,Treviolo,sibra
29/03/2023 12.03.26,Presezzo,sibra
29/03/2023 12.03.27,Madone,sébra
29/03/2023 12.03.51,San Giovanni Bianco,sibra
29/03/2023 12.03.57,Ambivere,sibra
29/03/2023 12.04.02,Azzano San Paolo,sibra
29/03/2023 12.04.11,Premolo,sébra
29/03/2023 12.04.12,San Pellegrino Terme,sibra
29/03/2023 12.04.17,Verdellino,sibra
29/03/2023 12.04.31,San Pellegrino Terme,sibra
29/03/2023 12.04.39,Scanzorosciate,sibra
29/03/2023 12.04.41,Fontanella,saàta
29/03/2023 12.04.45,Calusco d'Adda,sébra
29/03/2023 12.05.11,Spirano,sibra
29/03/2023 12.05.34,Calusco d'Adda,sébra
29/03/2023 12.05.36,Almenno San Bartolomeo,sibra
29/03/2023 12.05.43,Fara Gera d'Adda,saàta
29/03/2023 12.06.00,Torre Pallavicina,sibra
29/03/2023 12.06.11,Grumello del Monte,söbra
29/03/2023 12.06.15,Carvico,sébra
29/03/2023 12.06.34,Treviolo,sibra
29/03/2023 12.06.35,Ponte San Pietro,sibra
29/03/2023 12.06.38,Comun Nuovo,sibra
29/03/2023 12.06.43,Serina,sibra
29/03/2023 12.07.00,Peia,söbra
29/03/2023 12.07.03,Val Brembilla,Zibra perché siamo di Brembilla
29/03/2023 12.07.05,Bolgare,söbra
29/03/2023 12.07.22,Seriate,sibra
29/03/2023 12.07.23,Oltre il Colle,sébra
29/03/2023 12.07.23,Mozzo,sibra
29/03/2023 12.07.23,Villa d'Almè,sibra
29/03/2023 12.07.44,Capriate San Gervasio,sébra
29/03/2023 12.07.52,Urgnano,sibra
29/03/2023 12.07.58,Comun Nuovo,sibra
29/03/2023 12.08.00,Carvico,sébra
29/03/2023 12.08.08,Predore,sibra
29/03/2023 12.08.40,Gandino,söbra
29/03/2023 12.08.49,Bonate Sopra,sibra
29/03/2023 12.08.50,Mapello,sibra
29/03/2023 12.09.02,Predore,Sapáta
29/03/2023 12.09.03,Roncola,sibra
29/03/2023 12.09.07,Val Brembilla,Zibra
29/03/2023 12.09.12,Fornovo San Giovanni,sébra
29/03/2023 12.09.13,Terno d'Isola,Sia sébra che sibra
29/03/2023 12.09.21,Barzana,sébra
29/03/2023 12.09.46,Sarnico,saàta
29/03/2023 12.09.49,Chignolo d'Isola,sébra
29/03/2023 12.10.17,Capriate San Gervasio,sibra
29/03/2023 12.10.26,Pontida,sébra
29/03/2023 12.10.36,Mozzo,sébra
29/03/2023 12.10.52,Caravaggio,sébra
29/03/2023 12.11.06,Nembro,sibra
29/03/2023 12.11.22,Madone,Sibrèta
29/03/2023 12.11.29,Boltiere,saàta
29/03/2023 12.11.29,Albano Sant'Alessandro,sibra
29/03/2023 12.11.43,Bergamo,sibra
29/03/2023 12.11.44,Bergamo,sibra
29/03/2023 12.11.56,Sorisole,sibra
29/03/2023 12.12.01,Entratico,söbra
29/03/2023 12.12.10,Mapello,sibra
29/03/2023 12.12.21,Bergamo,saàta
29/03/2023 12.12.38,Gorle,sibra
29/03/2023 12.12.38,Spirano,sibra
29/03/2023 12.13.06,Filago,sébra
29/03/2023 12.13.07,Bonate Sopra,sébra
29/03/2023 12.13.21,Bergamo,sibra
29/03/2023 12.13.28,Ranica,sibra
29/03/2023 12.13.30,Lallio,sibra
29/03/2023 12.13.31,Clusone,saàta
29/03/2023 12.13.34,Ranzanico,söbra
29/03/2023 12.13.35,Lallio,sibra
29/03/2023 12.13.46,Lallio,sibra
29/03/2023 12.13.56,Medolago,sébra
29/03/2023 12.14.19,Cene,sébra
29/03/2023 12.14.47,Cividate al Piano,sapata
29/03/2023 12.14.59,Algua,sibra
29/03/2023 12.15.05,Treviolo,sibra
29/03/2023 12.15.10,Albino,saàta
29/03/2023 12.15.20,Alzano Lombardo,sibra
29/03/2023 12.15.24,Albano Sant'Alessandro,sébra
29/03/2023 12.15.24,Osio Sopra,sibra
29/03/2023 12.15.39,Villa di Serio,sibra
29/03/2023 12.15.43,Almenno San Salvatore,sibra
29/03/2023 12.16.19,Ponteranica,sibra
29/03/2023 12.16.25,Mornico al Serio,söbra
29/03/2023 12.16.26,Bonate Sopra,sébra
29/03/2023 12.16.29,Mornico al Serio,söbra
29/03/2023 12.16.57,Fiorano al Serio,söbra
29/03/2023 12.17.29,Cologno al Serio,sibra
29/03/2023 12.17.57,Castione della Presolana,saàta
29/03/2023 12.18.07,Albino,sébra
29/03/2023 12.18.10,Levate,sibra
29/03/2023 12.18.16,Medolago,sébra
29/03/2023 12.18.19,Borgo di Terzo,sibra
29/03/2023 12.18.25,Seriate,sibra
29/03/2023 12.18.29,Zogno,sibra
29/03/2023 12.18.38,Capriate San Gervasio,sibra
29/03/2023 12.18.41,Cortenuova,sibra
29/03/2023 12.18.47,Castel Rozzone,sébra
29/03/2023 12.18.47,San Giovanni Bianco,sibra
29/03/2023 12.18.58,Vilminore di Scalve,sibra
29/03/2023 12.19.11,Ponte San Pietro,saàta
29/03/2023 12.19.14,Sant'Omobono Terme,sibra
29/03/2023 12.19.16,Bonate Sotto,sébra
29/03/2023 12.19.41,Spirano,sibra
29/03/2023 12.19.48,Casirate d'Adda,saàta
29/03/2023 12.19.53,Covo,Síbra 
29/03/2023 12.20.07,Zanica,sibra